Rank,Flavor
1,Vanilla
2,Chocolate
3,Strawberry
4,Butter Pecan
5,Cookie Dough
6,Cookies and Cream
7,Mint Chocolate Chip
8,Chocolate Chip
9,Rocky Road
10,Peanut Butter/PB Cup
